NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Hazelnut Swirl Iced Cappuccino with Whole Milk - Small,Small,NA,190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0
Iced Cappuccino with Skim Milk -Large,Large,NA,90,0,0,0,5,130,13,0,12,8,316,0.24,0,0
Iced Cappuccino with Skim Milk -Medium,Medium,NA,70,0,0,0,5,95,10,0,9,6,236,0.18,0,0
Iced Cappuccino with Skim Milk -Small,Small,NA,45,0,0,0,0,65,7,0,6,4,158,0.12,0,0
Iced Cappuccino with Skim Milk and Sugar - Large,Large,NA,230,0,0,0,5,130,48,0,47,8,316,0.24,0,0
Iced Cappuccino with Skim Milk and Sugar - Medium,Medium,NA,170,0,0,0,5,95,36,0,35,6,236,0.18,0,0
Iced Cappuccino with Skim Milk and Sugar - Small,Small,NA,110,0,0,0,0,65,24,0,23,4,158,0.12,0,0
Iced Cappuccino with Whole Milk - Large,Large,NA,160,8,4.5,0,25,130,13,0,12,8,293,0.23,0,0
Iced Cappuccino with Whole Milk - Medium,Medium,NA,120,6,3.5,0,20,100,10,0,9,6,219,0.17,0,0
Iced Cappuccino with Whole Milk - Small,Small,NA,80,4,2.5,0,10,65,7,0,6,4,147,0.11,0,0
Iced Cappuccino with Whole Milk and Sugar - Large,Large,NA,290,8,4.5,0,25,130,48,0,46,8,293,0.23,0,0
Iced Cappuccino with Whole Milk and Sugar - Medium,Medium,NA,220,6,3.5,0,20,100,36,0,35,6,219,0.17,0,0
Iced Cappuccino with Whole Milk and Sugar - Small,Small,NA,150,4,2.5,0,10,65,24,0,23,4,147,0.11,0,0
Mocha Swirl Iced Cappuccino with Skim Milk - Large,Large,NA,300,1,0.5,0,5,160,64,2,58,10,327,0.25,2,0.11
